BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,SEGMENT_ID,Product Type,Age,Credit Score,Delinquency Status,Education Level,# Accounts,$ Outstandings,# Accounts in Repayment,$ Outstandings in Repayment,# New Disbursements,$ New Disbursements,$ Unpaid Principal Balance with Co-Signer,$ Unpaid Principal Balance in Grace,$ Unpaid Principal Balance in Deferment,$ Unpaid Principal Balance in Forbearance,$ Gross Contractual Charge-offs,$ Bankruptcy Charge-offs,$ Recoveries,$ Net Charge-offs,Adjustment Factor,WAL
Bank_11,453499,2025-02,Student,101010303,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,03 - 60-89 DPD,"03 - Other (e.g. community college, trade school, etc.)",1125,407.85,223,83.53,157,104.06,164.46,83.53,40.28,42.25,1.41,0.25,0.31,1.35,0.0,38
Bank_12,773416,2025-02,Student,101010304,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,03 - 60-89 DPD,04 - Not available,8450,169.73,259,229.83,746,69.7,81.55,99.54,20.84,14.44,3.71,1.71,1.41,4.01,0.0,40
Bank_13,408893,2025-02,Student,101010401,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,04 - 90-119 DPD,01 - Undergraduate - 4 year,9685,426.19,275,171.87,698,93.3,161.79,90.34,59.91,35.76,4.18,1.04,1.42,3.8,0.0,41
Bank_14,816017,2025-02,Student,101010402,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,04 - 90-119 DPD,02 - Graduate / Professional,1484,219.22,100,144.29,367,149.19,116.5,48.02,82.88,44.22,3.53,0.27,0.33,3.47,-0.09,67
Bank_15,570500,2025-02,Student,101010403,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,04 - 90-119 DPD,"03 - Other (e.g. community college, trade school, etc.)",1155,82.39,145,244.51,600,116.83,60.47,84.15,64.5,27.83,1.9,0.88,0.22,2.56,0.0,67
Bank_16,422286,2025-02,Student,101010404,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,04 - 90-119 DPD,04 - Not available,4138,202.71,258,187.7,872,56.21,77.5,98.85,72.94,82.22,1.22,1.77,0.12,2.87,0.0,17
Bank_17,883170,2025-02,Student,101010501,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,05 - 120+ DPD,01 - Undergraduate - 4 year,9406,88.16,300,102.37,500,29.23,110.94,40.38,49.59,32.62,4.4,1.15,1.48,4.07,0.0,12
Bank_18,489479,2025-02,Student,101010502,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,05 - 120+ DPD,02 - Graduate / Professional,1720,215.95,397,167.54,344,35.75,174.07,55.19,90.84,37.69,4.15,0.24,0.73,3.66,-0.0,53
Bank_19,530834,2025-02,Student,101010503,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,05 - 120+ DPD,"03 - Other (e.g. community college, trade school, etc.)",1496,140.23,428,275.69,366,83.94,183.67,82.86,92.73,21.42,1.64,0.43,1.05,1.02,0.0,51
Bank_20,424202,2025-02,Student,101010504,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,05 - 120+ DPD,04 - Not available,3544,423.85,67,231.72,455,157.96,137.93,13.62,60.39,69.85,2.54,0.38,0.55,2.37,0.0,60
Bank_21,463897,2025-02,Student,101020101,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,01 - Current & 1-29 DPD,01 - Undergraduate - 4 year,4590,361.92,231,219.21,61,153.49,106.87,55.84,37.07,27.7,2.96,1.81,0.37,4.4,-0.8,20
Bank_22,785317,2025-02,Student,101020102,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,01 - Current & 1-29 DPD,02 - Graduate / Professional,8830,59.34,382,205.53,613,192.4,27.04,84.27,59.91,93.49,1.73,1.42,0.77,2.38,0.0,62
Bank_23,154388,2025-02,Student,101020103,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,01 - Current & 1-29 DPD,"03 - Other (e.g. community college, trade school, etc.)",6596,99.02,423,161.93,682,46.47,88.25,16.95,26.16,75.52,0.69,1.24,1.29,0.64,0.0,33
Bank_24,291077,2025-02,Student,101020104,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,01 - Current & 1-29 DPD,04 - Not available,9110,331.71,192,245.07,233,76.12,155.04,39.8,68.04,58.1,3.96,1.44,1.29,4.11,0.0,29
Bank_25,412744,2025-02,Student,101020201,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,02 - 30-59 DPD,01 - Undergraduate - 4 year,2216,195.56,471,261.11,846,143.11,100.59,49.74,57.71,42.99,1.44,1.15,1.26,1.33,0.0,67
Bank_26,642412,2025-02,Student,101020202,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,02 - 30-59 DPD,02 - Graduate / Professional,8903,157.12,86,17.84,412,79.38,170.45,88.89,96.15,40.3,3.3,1.8,0.19,4.91,0.0,68
Bank_27,355114,2025-02,Student,101020203,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,02 - 30-59 DPD,"03 - Other (e.g. community college, trade school, etc.)",1806,331.96,95,141.18,181,52.44,56.4,29.52,5.66,63.01,2.61,1.04,0.23,3.42,0.0,58
Bank_28,465285,2025-02,Student,101020204,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,02 - 30-59 DPD,04 - Not available,2320,206.76,386,227.76,832,138.58,94.22,9.9,18.14,63.24,2.37,0.15,1.42,1.1,0.36,13
Bank_29,397206,2025-02,Student,101020301,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,03 - 60-89 DPD,01 - Undergraduate - 4 year,5165,454.68,180,172.34,90,76.02,109.69,41.78,10.47,72.91,1.77,0.13,0.96,0.94,0.0,35
Bank_30,967600,2025-02,Student,101020302,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,03 - 60-89 DPD,02 - Graduate / Professional,7980,152.15,222,204.18,215,87.55,32.45,66.64,37.78,66.16,0.78,0.73,0.94,0.57,-0.0,27
Bank_31,438817,2025-02,Student,101020303,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,03 - 60-89 DPD,"03 - Other (e.g. community college, trade school, etc.)",6608,471.36,197,295.78,646,111.1,142.58,61.61,49.6,82.58,1.62,1.39,0.44,2.57,0.0,63
Bank_32,133911,2025-02,Student,101020304,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,03 - 60-89 DPD,04 - Not available,5007,77.14,475,282.7,874,187.55,105.28,68.39,12.76,31.33,3.49,1.15,0.92,3.72,-0.0,38
Bank_33,478854,2025-02,Student,101020401,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,04 - 90-119 DPD,01 - Undergraduate - 4 year,3534,97.67,357,55.61,110,7.38,191.59,52.74,31.78,84.19,2.46,1.78,1.1,3.14,0.0,17
Bank_34,681206,2025-02,Student,101020402,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,04 - 90-119 DPD,02 - Graduate / Professional,7180,152.55,96,279.21,178,113.72,55.81,32.57,90.37,9.11,4.37,0.97,0.7,4.64,0.0,29
Bank_35,470378,2025-02,Student,101020403,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,04 - 90-119 DPD,"03 - Other (e.g. community college, trade school, etc.)",8861,435.44,260,49.85,958,129.69,180.64,33.44,30.78,37.56,3.51,1.03,0.57,3.97,-0.22,14
Bank_36,222706,2025-02,Student,101020404,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,04 - 90-119 DPD,04 - Not available,3310,163.37,412,98.71,544,68.6,111.55,12.68,23.45,43.17,3.07,0.78,0.51,3.34,0.0,27
Bank_37,187201,2025-02,Student,101020501,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,05 - 120+ DPD,01 - Undergraduate - 4 year,9571,473.82,392,151.22,928,69.23,100.49,25.01,5.67,27.19,0.55,0.9,0.96,0.49,-0.0,67
Bank_38,855773,2025-02,Student,101020502,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,05 - 120+ DPD,02 - Graduate / Professional,4559,407.23,61,205.33,893,111.57,184.26,90.92,17.85,51.7,0.81,0.25,0.25,0.81,0.0,39
Bank_39,421594,2025-02,Student,101020503,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,05 - 120+ DPD,"03 - Other (e.g. community college, trade school, etc.)",4012,330.52,237,248.37,12,101.95,45.41,62.85,90.95,50.65,2.76,0.25,1.29,1.72,0.0,32
Bank_40,185527,2025-02,Student,101020504,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,05 - 120+ DPD,04 - Not available,9194,198.64,182,40.43,796,162.09,134.46,47.04,93.09,47.57,4.99,0.69,0.4,5.28,0.0,17
Bank_41,428233,2025-02,Student,101030101,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,01 - Current & 1-29 DPD,01 - Undergraduate - 4 year,7206,489.9,480,99.83,183,63.75,172.71,63.57,45.79,62.49,0.8,1.1,0.67,1.23,0.0,55
Bank_42,100818,2025-02,Student,101030102,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,01 - Current & 1-29 DPD,02 - Graduate / Professional,1115,168.46,84,184.24,360,36.99,112.12,79.34,44.84,9.69,1.34,1.27,0.49,2.12,0.56,12
Bank_43,308137,2025-02,Student,101030103,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,01 - Current & 1-29 DPD,"03 - Other (e.g. community college, trade school, etc.)",8788,365.32,54,69.92,844,93.95,41.7,28.79,83.72,56.31,2.4,0.22,0.74,1.88,-0.0,34
Bank_44,983202,2025-02,Student,101030104,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,01 - Current & 1-29 DPD,04 - Not available,8777,357.73,73,172.61,11,174.92,27.0,65.5,57.39,85.38,4.64,0.81,1.42,4.03,0.0,41
Bank_45,444449,2025-02,Student,101030201,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,02 - 30-59 DPD,01 - Undergraduate - 4 year,4866,113.39,400,198.77,216,150.82,35.37,73.79,35.72,90.7,3.68,0.88,1.21,3.35,-0.0,45
Bank_46,480530,2025-02,Student,101030202,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,02 - 30-59 DPD,02 - Graduate / Professional,2164,142.15,88,62.37,236,158.38,186.96,67.36,91.96,88.03,3.55,0.51,1.0,3.06,0.0,38
Bank_47,329623,2025-02,Student,101030203,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,02 - 30-59 DPD,"03 - Other (e.g. community college, trade school, etc.)",7356,461.07,379,52.57,510,153.25,76.71,76.31,8.63,26.68,2.42,1.1,1.27,2.25,0.0,70
Bank_48,995456,2025-02,Student,101030204,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,02 - 30-59 DPD,04 - Not available,6567,209.61,332,25.94,693,107.11,51.39,66.12,34.85,91.37,2.85,1.75,1.1,3.5,0.0,54
Bank_49,255327,2025-02,Student,101030301,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,03 - 60-89 DPD,01 - Undergraduate - 4 year,7565,334.83,384,48.14,76,165.34,124.27,22.8,21.44,6.3,1.25,1.72,0.97,2.0,-0.9,25
Bank_50,153421,2025-02,Student,101030302,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,03 - 60-89 DPD,02 - Graduate / Professional,3840,446.46,82,251.28,635,151.98,198.43,60.64,23.11,88.96,4.53,1.12,0.68,4.97,-0.0,30
Bank_51,501052,2025-02,Student,101030303,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,03 - 60-89 DPD,"03 - Other (e.g. community college, trade school, etc.)",7090,96.83,258,62.74,144,131.68,44.62,64.35,57.08,51.16,1.29,1.55,0.41,2.43,0.0,25
Bank_52,910115,2025-02,Student,101030304,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,03 - 60-89 DPD,04 - Not available,6600,234.73,60,280.69,876,165.58,77.0,6.11,54.6,70.28,2.91,1.51,0.15,4.27,0.0,29
Bank_53,398527,2025-02,Student,101030401,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,04 - 90-119 DPD,01 - Undergraduate - 4 year,2810,295.87,114,12.86,354,11.73,136.58,74.63,6.13,42.24,0.74,0.84,0.13,1.45,-0.0,67
Bank_54,893437,2025-02,Student,101030402,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,04 - 90-119 DPD,02 - Graduate / Professional,2975,411.33,307,50.14,388,93.87,18.63,99.01,64.39,99.92,1.5,1.51,0.45,2.56,0.0,61
Bank_55,686118,2025-02,Student,101030403,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,04 - 90-119 DPD,"03 - Other (e.g. community college, trade school, etc.)",9651,188.12,272,221.13,134,58.79,172.19,41.58,20.87,59.19,1.31,1.56,1.49,1.38,-0.0,16
Bank_56,471260,2025-02,Student,101030404,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,04 - 90-119 DPD,04 - Not available,9743,473.86,202,200.07,63,53.76,109.76,63.96,29.98,90.76,3.52,0.37,1.32,2.57,-0.72,22
Bank_57,641254,2025-02,Student,101030501,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,05 - 120+ DPD,01 - Undergraduate - 4 year,4689,396.67,383,42.6,377,58.51,29.23,8.72,81.69,21.92,3.57,1.0,0.71,3.86,-0.0,53
Bank_58,705645,2025-02,Student,101030502,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,05 - 120+ DPD,02 - Graduate / Professional,7156,468.79,400,86.26,61,125.96,40.44,41.06,95.96,50.88,2.74,1.26,0.48,3.52,0.0,65
Bank_59,721987,2025-02,Student,101030503,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,05 - 120+ DPD,"03 - Other (e.g. community college, trade school, etc.)",3675,486.4,362,228.17,291,189.24,104.16,91.29,7.01,97.14,1.64,0.68,1.35,0.97,0.0,65
Bank_60,961681,2025-02,Student,101030504,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,05 - 120+ DPD,04 - Not available,2294,374.11,159,208.41,484,41.42,113.25,15.53,41.53,63.51,4.87,0.21,1.36,3.72,0.0,18
Bank_61,236529,2025-02,Student,102010101,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,01 - Current & 1-29 DPD,01 - Undergraduate - 4 year,7164,50.91,421,63.22,757,104.02,10.08,37.76,80.91,28.09,4.27,0.59,1.31,3.55,0.0,37
Bank_62,973557,2025-02,Student,102010102,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,01 - Current & 1-29 DPD,02 - Graduate / Professional,9309,465.0,436,296.54,189,107.58,111.27,48.02,6.61,15.82,4.33,0.44,1.19,3.58,-0.0,36
Bank_63,566018,2025-02,Student,102010103,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,01 - Current & 1-29 DPD,"03 - Other (e.g. community college, trade school, etc.)",8222,151.09,86,132.39,992,156.37,25.74,47.21,85.33,45.25,1.87,1.11,0.71,2.27,0.4,37
Bank_64,691775,2025-02,Student,102010104,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,01 - Current & 1-29 DPD,04 - Not available,9587,462.92,73,293.82,713,90.36,26.5,76.71,87.0,81.4,4.22,0.73,0.92,4.03,0.0,31
Bank_65,949546,2025-02,Student,102010201,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,02 - 30-59 DPD,01 - Undergraduate - 4 year,6055,369.07,112,67.83,287,164.19,175.74,34.24,76.27,60.18,3.98,1.84,0.75,5.07,0.0,22
Bank_66,133499,2025-02,Student,102010202,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,02 - 30-59 DPD,02 - Graduate / Professional,3477,396.39,146,238.8,399,143.74,116.12,33.75,6.97,14.19,4.4,0.55,1.0,3.95,0.0,52
Bank_67,795339,2025-02,Student,102010203,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,02 - 30-59 DPD,"03 - Other (e.g. community college, trade school, etc.)",3457,267.75,129,66.7,203,43.75,139.39,67.74,95.46,62.18,1.46,1.81,0.95,2.32,-0.0,50
Bank_68,606762,2025-02,Student,102010204,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,02 - 30-59 DPD,04 - Not available,6721,293.55,158,8.16,393,82.51,67.02,82.81,45.5,77.81,3.58,0.26,0.8,3.04,0.0,33
Bank_69,923709,2025-02,Student,102010301,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,03 - 60-89 DPD,01 - Undergraduate - 4 year,7486,314.82,265,210.76,609,49.84,70.84,21.86,48.46,60.87,3.88,1.43,0.67,4.64,0.0,58
Bank_70,243753,2025-02,Student,102010302,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,03 - 60-89 DPD,02 - Graduate / Professional,7153,251.98,58,45.43,785,179.83,68.56,58.51,91.68,28.41,2.07,0.33,0.98,1.42,0.63,29
Bank_71,557007,2025-02,Student,102010303,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,03 - 60-89 DPD,"03 - Other (e.g. community college, trade school, etc.)",7860,446.38,53,130.21,463,122.81,113.98,17.83,87.03,85.47,1.42,0.39,1.22,0.59,-0.0,32
Bank_72,567125,2025-02,Student,102010304,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,03 - 60-89 DPD,04 - Not available,2929,163.82,437,102.63,116,43.25,134.39,14.59,58.57,17.92,2.05,1.8,0.91,2.94,0.0,53
Bank_73,348797,2025-02,Student,102010401,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,04 - 90-119 DPD,01 - Undergraduate - 4 year,2976,419.75,173,29.25,947,197.03,55.95,18.78,92.5,56.98,2.31,0.37,0.39,2.29,0.0,34
Bank_74,462199,2025-02,Student,102010402,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,04 - 90-119 DPD,02 - Graduate / Professional,5776,330.88,351,47.03,286,90.62,102.34,96.6,34.46,39.17,4.1,1.31,1.14,4.27,-0.0,50
Bank_75,732600,2025-02,Student,102010403,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,04 - 90-119 DPD,"03 - Other (e.g. community college, trade school, etc.)",6033,464.03,226,290.63,665,11.45,94.62,15.18,39.26,70.75,1.12,1.88,1.17,1.83,0.0,55
Bank_76,770588,2025-02,Student,102010404,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,04 - 90-119 DPD,04 - Not available,8401,109.33,247,51.56,997,150.05,134.09,42.49,56.94,7.27,0.8,0.99,0.72,1.07,0.0,49
Bank_77,390848,2025-02,Student,102010501,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,05 - 120+ DPD,01 - Undergraduate - 4 year,9748,74.24,361,174.86,783,45.74,192.93,32.68,6.08,14.62,2.0,0.61,0.54,2.07,0.54,24
Bank_78,599474,2025-02,Student,102010502,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,05 - 120+ DPD,02 - Graduate / Professional,9660,160.38,444,162.61,395,189.89,61.12,56.1,89.26,39.12,2.3,0.83,0.67,2.46,0.0,47
Bank_79,741068,2025-02,Student,102010503,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,05 - 120+ DPD,"03 - Other (e.g. community college, trade school, etc.)",9590,107.5,430,227.06,17,189.05,74.23,81.27,83.91,26.97,2.2,1.79,1.41,2.58,0.0,22
Bank_80,774403,2025-02,Student,102010504,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,05 - 120+ DPD,04 - Not available,1271,378.89,56,213.51,15,100.85,87.51,44.42,26.45,94.93,1.84,0.79,0.9,1.73,0.0,28
Bank_81,506618,2025-02,Student,102020101,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,01 - Current & 1-29 DPD,01 - Undergraduate - 4 year,7653,382.97,230,243.56,471,114.73,169.45,49.91,80.76,50.45,2.15,1.34,1.09,2.4,-0.0,21
Bank_82,412313,2025-02,Student,102020102,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,01 - Current & 1-29 DPD,02 - Graduate / Professional,5591,121.82,398,189.02,589,156.26,103.14,22.14,80.12,15.24,0.92,0.14,0.36,0.7,-0.0,21
Bank_83,972156,2025-02,Student,102020103,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,01 - Current & 1-29 DPD,"03 - Other (e.g. community college, trade school, etc.)",7643,431.64,334,191.09,499,184.31,61.51,71.67,78.75,20.52,2.75,1.47,1.32,2.9,0.0,23
Bank_84,134404,2025-02,Student,102020104,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,01 - Current & 1-29 DPD,04 - Not available,8879,302.41,343,253.41,532,38.37,83.18,20.86,5.9,67.61,2.55,0.76,0.29,3.02,0.67,69
Bank_85,750434,2025-02,Student,102020201,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,02 - 30-59 DPD,01 - Undergraduate - 4 year,6886,190.56,431,40.32,814,23.08,24.08,21.36,53.48,13.99,3.38,1.36,0.79,3.95,0.0,21
Bank_86,680548,2025-02,Student,102020202,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,02 - 30-59 DPD,02 - Graduate / Professional,8987,474.11,303,286.8,569,37.69,148.56,30.01,70.7,75.29,3.9,1.98,1.33,4.55,0.0,12
Bank_87,230736,2025-02,Student,102020203,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,02 - 30-59 DPD,"03 - Other (e.g. community college, trade school, etc.)",2292,157.75,488,27.85,508,100.47,86.58,19.34,54.43,6.44,4.12,0.81,1.23,3.7,0.0,55
Bank_88,210534,2025-02,Student,102020204,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,02 - 30-59 DPD,04 - Not available,9603,205.86,188,239.08,963,51.9,124.81,31.25,6.76,19.3,2.0,1.24,0.16,3.08,0.0,20
Bank_89,207973,2025-02,Student,102020301,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,03 - 60-89 DPD,01 - Undergraduate - 4 year,7304,398.73,243,49.96,809,52.35,49.15,65.93,37.29,50.26,1.81,1.61,1.49,1.93,0.0,16
Bank_90,560323,2025-02,Student,102020302,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,03 - 60-89 DPD,02 - Graduate / Professional,6944,449.72,176,263.63,951,107.18,162.83,91.81,8.31,15.04,3.52,0.45,0.32,3.65,-0.0,66
Bank_91,608713,2025-02,Student,102020303,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,03 - 60-89 DPD,"03 - Other (e.g. community college, trade school, etc.)",6840,127.12,251,44.43,868,191.1,124.15,87.38,89.73,46.51,0.62,1.82,0.31,2.13,0.2,56
Bank_92,107469,2025-02,Student,102020304,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,03 - 60-89 DPD,04 - Not available,4869,74.77,82,203.58,786,63.43,80.58,48.27,19.83,77.27,4.85,0.97,1.01,4.81,0.0,19
Bank_93,274739,2025-02,Student,102020401,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,04 - 90-119 DPD,01 - Undergraduate - 4 year,1617,368.0,470,151.96,259,169.83,124.48,59.67,34.97,21.98,4.23,0.18,0.95,3.46,0.0,57
Bank_94,142251,2025-02,Student,102020402,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,04 - 90-119 DPD,02 - Graduate / Professional,1951,159.17,211,116.52,24,36.97,78.45,81.61,75.15,6.67,0.92,0.62,0.24,1.3,0.0,60
Bank_95,626617,2025-02,Student,102020403,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - >660,04 - 90-119 DPD,"03 - Other (e.g. community college, trade school, etc.)",3965,136.22,456,48.21,365,91.56,157.32,85.25,55.67,79.06,0.55,1.35,0.36,1.54,0.0,49
