BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,SEGMENT_ID,Product Type,Age,Geography,Credit Score,Delinquency Status,Security,# Accounts,$ Outstandings,# New Accounts,$ New Accounts,$ Commitments,$ Modifications,$ Gross Contractual Charge-offs,$ Bankruptcy Charge-offs,$ Recoveries,$ Net Charge-offs,Adjustment Factor,WAL
Bank_21,145708,2025-02,IntSB,10101030101,01 - Line of Credit,01 - <= Three years old,01 - Canada,,01 - Current & 1-29 DPD,01 - Secured,1917,476.96,322,45.75,37.18,63.66,4.85,1.07,0.68,5.24,0.24,57
Bank_22,590927,2025-02,IntSB,10101030102,01 - Line of Credit,01 - <= Three years old,01 - Canada,,01 - Current & 1-29 DPD,02 - Unsecured,3482,496.15,191,22.6,153.51,46.27,4.48,1.52,0.66,5.34,0.0,53
Bank_23,146087,2025-02,IntSB,10101030201,01 - Line of Credit,01 - <= Three years old,01 - Canada,,02 - 30-59 DPD,01 - Secured,2265,301.14,416,32.03,155.86,24.85,4.68,0.77,0.44,5.01,0.0,41
Bank_24,719395,2025-02,IntSB,10101030202,01 - Line of Credit,01 - <= Three years old,01 - Canada,,02 - 30-59 DPD,02 - Unsecured,3130,101.13,125,8.31,42.65,86.87,1.2,0.88,0.64,1.44,0.0,63
Bank_25,834170,2025-02,IntSB,10101030301,01 - Line of Credit,01 - <= Three years old,01 - Canada,,03 - 60-89 DPD,01 - Secured,3552,434.66,168,28.5,62.38,77.93,1.62,1.99,0.9,2.71,-0.0,63
Bank_26,694768,2025-02,IntSB,10101030302,01 - Line of Credit,01 - <= Three years old,01 - Canada,,03 - 60-89 DPD,02 - Unsecured,7180,472.56,276,27.21,142.74,39.51,4.37,1.9,1.24,5.03,0.0,70
Bank_27,609607,2025-02,IntSB,10101030401,01 - Line of Credit,01 - <= Three years old,01 - Canada,,04 - 90-119 DPD,01 - Secured,6866,458.06,233,43.33,57.61,79.58,3.64,0.3,1.25,2.69,0.0,40
Bank_28,445255,2025-02,IntSB,10101030402,01 - Line of Credit,01 - <= Three years old,01 - Canada,,04 - 90-119 DPD,02 - Unsecured,9564,189.77,83,47.06,164.89,73.99,2.58,1.99,0.46,4.11,0.9,57
Bank_29,993214,2025-02,IntSB,10101030501,01 - Line of Credit,01 - <= Three years old,01 - Canada,,05 - 120+ DPD,01 - Secured,5681,335.0,260,46.93,39.35,37.21,3.59,0.79,0.4,3.98,0.0,67
Bank_30,695658,2025-02,IntSB,10101030502,01 - Line of Credit,01 - <= Three years old,01 - Canada,,05 - 120+ DPD,02 - Unsecured,6068,358.6,364,9.54,11.91,30.8,2.24,1.05,1.5,1.79,0.0,57
Bank_31,647695,2025-02,IntSB,10102010101,01 - Line of Credit,01 - <= Three years old,02 - EMEA,01 - <=620,01 - Current & 1-29 DPD,01 - Secured,7517,235.25,201,48.24,14.04,24.69,0.88,0.26,0.16,0.98,-0.0,46
Bank_32,583497,2025-02,IntSB,10102010102,01 - Line of Credit,01 - <= Three years old,02 - EMEA,01 - <=620,01 - Current & 1-29 DPD,02 - Unsecured,5348,160.4,170,26.56,120.09,29.01,0.74,0.46,1.32,-0.12,0.0,66
Bank_33,470125,2025-02,IntSB,10102010201,01 - Line of Credit,01 - <= Three years old,02 - EMEA,01 - <=620,02 - 30-59 DPD,01 - Secured,5715,394.23,152,12.06,38.86,98.58,1.33,1.69,0.79,2.23,0.0,12
Bank_34,586769,2025-02,IntSB,10102010202,01 - Line of Credit,01 - <= Three years old,02 - EMEA,01 - <=620,02 - 30-59 DPD,02 - Unsecured,8827,441.05,135,11.34,167.06,83.23,3.59,0.5,0.6,3.49,0.0,39
Bank_35,763204,2025-02,IntSB,10102010301,01 - Line of Credit,01 - <= Three years old,02 - EMEA,01 - <=620,03 - 60-89 DPD,01 - Secured,6085,279.35,389,7.37,77.74,11.13,3.99,1.25,0.96,4.28,0.58,62
Bank_36,108697,2025-02,IntSB,10102010302,01 - Line of Credit,01 - <= Three years old,02 - EMEA,01 - <=620,03 - 60-89 DPD,02 - Unsecured,2333,415.69,56,48.3,96.97,81.73,4.46,1.36,1.04,4.78,0.0,27
Bank_37,230940,2025-02,IntSB,10102010401,01 - Line of Credit,01 - <= Three years old,02 - EMEA,01 - <=620,04 - 90-119 DPD,01 - Secured,2845,444.46,227,30.12,170.51,42.01,1.23,1.62,0.68,2.17,0.0,62
Bank_38,607538,2025-02,IntSB,10102010402,01 - Line of Credit,01 - <= Three years old,02 - EMEA,01 - <=620,04 - 90-119 DPD,02 - Unsecured,4618,354.81,255,33.35,98.74,74.82,4.77,1.81,0.9,5.68,0.0,55
Bank_39,807183,2025-02,IntSB,10102010501,01 - Line of Credit,01 - <= Three years old,02 - EMEA,01 - <=620,05 - 120+ DPD,01 - Secured,5826,446.13,476,7.88,123.29,66.25,2.93,1.18,0.55,3.56,-0.0,60
Bank_40,826051,2025-02,IntSB,10102010502,01 - Line of Credit,01 - <= Three years old,02 - EMEA,01 - <=620,05 - 120+ DPD,02 - Unsecured,3460,488.41,290,10.4,193.2,16.45,4.59,1.74,0.45,5.88,0.0,59
Bank_41,285082,2025-02,IntSB,10102020101,01 - Line of Credit,01 - <= Three years old,02 - EMEA,02 - >620,01 - Current & 1-29 DPD,01 - Secured,8013,258.99,420,13.97,33.41,57.18,3.93,1.05,0.92,4.06,-0.0,37
Bank_42,374134,2025-02,IntSB,10102020102,01 - Line of Credit,01 - <= Three years old,02 - EMEA,02 - >620,01 - Current & 1-29 DPD,02 - Unsecured,3193,199.33,325,37.83,85.52,95.83,4.17,0.43,0.41,4.19,-0.16,36
Bank_43,685244,2025-02,IntSB,10102020201,01 - Line of Credit,01 - <= Three years old,02 - EMEA,02 - >620,02 - 30-59 DPD,01 - Secured,2953,423.73,228,33.69,136.15,15.79,1.53,1.85,0.26,3.12,0.0,41
Bank_44,838195,2025-02,IntSB,10102020202,01 - Line of Credit,01 - <= Three years old,02 - EMEA,02 - >620,02 - 30-59 DPD,02 - Unsecured,2576,286.61,360,14.2,75.42,39.13,3.74,0.63,0.12,4.25,0.0,17
Bank_45,278990,2025-02,IntSB,10102020301,01 - Line of Credit,01 - <= Three years old,02 - EMEA,02 - >620,03 - 60-89 DPD,01 - Secured,5786,268.41,299,8.6,92.39,85.95,3.33,1.14,0.15,4.32,0.0,29
Bank_46,277607,2025-02,IntSB,10102020302,01 - Line of Credit,01 - <= Three years old,02 - EMEA,02 - >620,03 - 60-89 DPD,02 - Unsecured,4334,105.96,479,32.44,29.92,47.57,1.42,1.82,1.06,2.18,0.0,12
Bank_47,343705,2025-02,IntSB,10102020401,01 - Line of Credit,01 - <= Three years old,02 - EMEA,02 - >620,04 - 90-119 DPD,01 - Secured,7911,120.6,235,31.24,93.54,94.94,2.12,0.25,1.04,1.33,0.0,62
Bank_48,811511,2025-02,IntSB,10102020402,01 - Line of Credit,01 - <= Three years old,02 - EMEA,02 - >620,04 - 90-119 DPD,02 - Unsecured,4415,206.61,253,39.36,30.7,17.06,1.69,0.52,1.44,0.77,0.0,67
Bank_49,292049,2025-02,IntSB,10102020501,01 - Line of Credit,01 - <= Three years old,02 - EMEA,02 - >620,05 - 120+ DPD,01 - Secured,2814,340.69,117,33.47,53.68,31.0,0.63,0.56,0.23,0.96,0.44,34
Bank_50,752476,2025-02,IntSB,10102020502,01 - Line of Credit,01 - <= Three years old,02 - EMEA,02 - >620,05 - 120+ DPD,02 - Unsecured,9246,298.77,347,20.29,86.28,97.04,3.39,0.91,0.83,3.47,0.0,26
Bank_51,399593,2025-02,IntSB,10102030101,01 - Line of Credit,01 - <= Three years old,02 - EMEA,,01 - Current & 1-29 DPD,01 - Secured,1071,115.46,140,5.94,119.14,90.47,1.71,1.93,0.76,2.88,0.0,67
Bank_52,425064,2025-02,IntSB,10102030102,01 - Line of Credit,01 - <= Three years old,02 - EMEA,,01 - Current & 1-29 DPD,02 - Unsecured,9439,194.02,455,43.69,138.3,46.74,4.59,1.76,0.95,5.4,0.0,24
Bank_53,588463,2025-02,IntSB,10102030201,01 - Line of Credit,01 - <= Three years old,02 - EMEA,,02 - 30-59 DPD,01 - Secured,8148,162.9,368,39.42,28.3,70.92,3.34,1.12,0.28,4.18,0.0,72
Bank_54,581088,2025-02,IntSB,10102030202,01 - Line of Credit,01 - <= Three years old,02 - EMEA,,02 - 30-59 DPD,02 - Unsecured,9727,327.83,469,18.72,176.02,60.99,4.12,1.27,0.65,4.74,0.0,68
Bank_55,745426,2025-02,IntSB,10102030301,01 - Line of Credit,01 - <= Three years old,02 - EMEA,,03 - 60-89 DPD,01 - Secured,2095,433.46,92,32.75,169.74,16.22,4.76,1.8,0.28,6.28,0.0,36
Bank_56,505697,2025-02,IntSB,10102030302,01 - Line of Credit,01 - <= Three years old,02 - EMEA,,03 - 60-89 DPD,02 - Unsecured,5975,73.04,109,29.66,13.21,45.48,2.07,0.79,0.7,2.16,0.07,57
Bank_57,880896,2025-02,IntSB,10102030401,01 - Line of Credit,01 - <= Three years old,02 - EMEA,,04 - 90-119 DPD,01 - Secured,9011,388.8,391,38.9,38.78,98.88,2.8,1.11,0.17,3.74,0.0,40
Bank_58,801165,2025-02,IntSB,10102030402,01 - Line of Credit,01 - <= Three years old,02 - EMEA,,04 - 90-119 DPD,02 - Unsecured,2098,87.16,275,28.97,150.8,6.45,3.27,0.82,0.24,3.85,0.0,23
Bank_59,910622,2025-02,IntSB,10102030501,01 - Line of Credit,01 - <= Three years old,02 - EMEA,,05 - 120+ DPD,01 - Secured,9792,106.88,288,32.28,183.88,84.06,3.51,0.68,1.34,2.85,0.0,21
Bank_60,716411,2025-02,IntSB,10102030502,01 - Line of Credit,01 - <= Three years old,02 - EMEA,,05 - 120+ DPD,02 - Unsecured,9860,315.4,164,39.58,146.12,28.69,2.14,0.17,0.21,2.1,0.0,14
Bank_61,930564,2025-02,IntSB,10103010101,01 - Line of Credit,01 - <= Three years old,03 - LATAM,01 - <=620,01 - Current & 1-29 DPD,01 - Secured,6017,173.49,404,5.72,199.16,92.0,2.44,1.77,0.68,3.53,0.0,61
Bank_62,331581,2025-02,IntSB,10103010102,01 - Line of Credit,01 - <= Three years old,03 - LATAM,01 - <=620,01 - Current & 1-29 DPD,02 - Unsecured,5915,296.5,227,18.49,83.3,96.88,2.26,1.91,0.61,3.56,0.0,35
Bank_63,305020,2025-02,IntSB,10103010201,01 - Line of Credit,01 - <= Three years old,03 - LATAM,01 - <=620,02 - 30-59 DPD,01 - Secured,5346,209.84,323,36.7,37.83,11.73,1.14,0.73,0.36,1.51,-0.0,22
Bank_64,165279,2025-02,IntSB,10103010202,01 - Line of Credit,01 - <= Three years old,03 - LATAM,01 - <=620,02 - 30-59 DPD,02 - Unsecured,3345,360.96,144,47.78,42.92,59.12,4.11,1.8,1.25,4.66,0.0,69
Bank_65,458991,2025-02,IntSB,10103010301,01 - Line of Credit,01 - <= Three years old,03 - LATAM,01 - <=620,03 - 60-89 DPD,01 - Secured,9354,342.89,300,27.19,39.89,86.49,2.0,0.84,1.01,1.83,0.0,50
Bank_66,615840,2025-02,IntSB,10103010302,01 - Line of Credit,01 - <= Three years old,03 - LATAM,01 - <=620,03 - 60-89 DPD,02 - Unsecured,2469,50.58,114,9.27,183.57,18.43,1.08,0.97,1.12,0.93,0.0,23
Bank_67,815942,2025-02,IntSB,10103010401,01 - Line of Credit,01 - <= Three years old,03 - LATAM,01 - <=620,04 - 90-119 DPD,01 - Secured,1276,126.49,266,41.79,26.92,16.95,2.24,1.72,0.37,3.59,0.0,60
Bank_68,513529,2025-02,IntSB,10103010402,01 - Line of Credit,01 - <= Three years old,03 - LATAM,01 - <=620,04 - 90-119 DPD,02 - Unsecured,5431,479.77,463,45.18,84.07,79.11,2.69,1.01,0.4,3.3,-0.0,62
Bank_69,592629,2025-02,IntSB,10103010501,01 - Line of Credit,01 - <= Three years old,03 - LATAM,01 - <=620,05 - 120+ DPD,01 - Secured,6371,307.4,379,9.69,102.39,36.37,1.21,1.74,0.2,2.75,0.0,50
Bank_70,485149,2025-02,IntSB,10103010502,01 - Line of Credit,01 - <= Three years old,03 - LATAM,01 - <=620,05 - 120+ DPD,02 - Unsecured,1326,249.66,377,13.57,68.38,26.62,4.54,1.21,1.46,4.29,-0.7,69
Bank_71,509343,2025-02,IntSB,10103020101,01 - Line of Credit,01 - <= Three years old,03 - LATAM,02 - >620,01 - Current & 1-29 DPD,01 - Secured,7967,83.79,249,22.06,133.27,23.27,2.55,0.4,0.89,2.06,0.0,33
Bank_72,797491,2025-02,IntSB,10103020102,01 - Line of Credit,01 - <= Three years old,03 - LATAM,02 - >620,01 - Current & 1-29 DPD,02 - Unsecured,9155,496.52,420,13.07,167.23,36.7,1.84,0.44,0.59,1.69,-0.0,55
Bank_73,960013,2025-02,IntSB,10103020201,01 - Line of Credit,01 - <= Three years old,03 - LATAM,02 - >620,02 - 30-59 DPD,01 - Secured,7876,84.51,485,40.77,175.92,5.27,3.43,0.49,1.46,2.46,0.0,33
Bank_74,207068,2025-02,IntSB,10103020202,01 - Line of Credit,01 - <= Three years old,03 - LATAM,02 - >620,02 - 30-59 DPD,02 - Unsecured,9837,185.67,97,42.91,34.03,79.66,3.49,0.68,0.16,4.01,0.0,40
Bank_75,826347,2025-02,IntSB,10103020301,01 - Line of Credit,01 - <= Three years old,03 - LATAM,02 - >620,03 - 60-89 DPD,01 - Secured,6149,470.76,51,17.31,192.72,40.42,1.28,0.31,0.41,1.18,-0.0,69
Bank_76,726855,2025-02,IntSB,10103020302,01 - Line of Credit,01 - <= Three years old,03 - LATAM,02 - >620,03 - 60-89 DPD,02 - Unsecured,7936,200.6,84,48.29,18.35,33.34,0.93,1.66,0.9,1.69,0.0,71
Bank_77,908361,2025-02,IntSB,10103020401,01 - Line of Credit,01 - <= Three years old,03 - LATAM,02 - >620,04 - 90-119 DPD,01 - Secured,6970,474.24,62,10.05,158.9,19.31,2.7,0.26,1.37,1.59,0.79,54
Bank_78,744278,2025-02,IntSB,10103020402,01 - Line of Credit,01 - <= Three years old,03 - LATAM,02 - >620,04 - 90-119 DPD,02 - Unsecured,9157,188.61,292,18.59,199.45,52.41,4.29,1.08,0.93,4.44,0.0,36
Bank_79,377635,2025-02,IntSB,10103020501,01 - Line of Credit,01 - <= Three years old,03 - LATAM,02 - >620,05 - 120+ DPD,01 - Secured,7317,331.44,109,9.97,24.78,58.35,1.26,1.68,0.34,2.6,0.0,70
Bank_80,400360,2025-02,IntSB,10103020502,01 - Line of Credit,01 - <= Three years old,03 - LATAM,02 - >620,05 - 120+ DPD,02 - Unsecured,1738,311.88,123,8.1,111.26,5.57,3.87,0.85,0.64,4.08,0.0,61
Bank_81,661130,2025-02,IntSB,10103030101,01 - Line of Credit,01 - <= Three years old,03 - LATAM,,01 - Current & 1-29 DPD,01 - Secured,1157,359.23,274,7.34,168.95,90.78,2.42,0.4,0.47,2.35,0.0,37
Bank_82,588078,2025-02,IntSB,10103030102,01 - Line of Credit,01 - <= Three years old,03 - LATAM,,01 - Current & 1-29 DPD,02 - Unsecured,5187,60.27,51,33.1,25.81,38.95,3.34,0.78,1.07,3.05,0.0,52
Bank_83,799923,2025-02,IntSB,10103030201,01 - Line of Credit,01 - <= Three years old,03 - LATAM,,02 - 30-59 DPD,01 - Secured,5628,359.18,405,15.28,168.26,93.5,1.27,1.12,0.76,1.63,-0.0,22
Bank_84,287803,2025-02,IntSB,10103030202,01 - Line of Credit,01 - <= Three years old,03 - LATAM,,02 - 30-59 DPD,02 - Unsecured,1370,54.07,248,26.13,195.85,16.73,3.83,0.34,0.47,3.7,0.83,70
Bank_85,225773,2025-02,IntSB,10103030301,01 - Line of Credit,01 - <= Three years old,03 - LATAM,,03 - 60-89 DPD,01 - Secured,7135,327.53,113,9.98,145.14,81.41,2.73,0.18,0.5,2.41,0.0,50
Bank_86,411514,2025-02,IntSB,10103030302,01 - Line of Credit,01 - <= Three years old,03 - LATAM,,03 - 60-89 DPD,02 - Unsecured,4892,409.28,148,34.88,35.88,15.52,2.11,1.61,0.31,3.41,0.0,24
Bank_87,733761,2025-02,IntSB,10103030401,01 - Line of Credit,01 - <= Three years old,03 - LATAM,,04 - 90-119 DPD,01 - Secured,5073,346.09,117,43.84,150.94,83.9,4.1,1.91,0.75,5.26,0.0,46
Bank_88,515040,2025-02,IntSB,10103030402,01 - Line of Credit,01 - <= Three years old,03 - LATAM,,04 - 90-119 DPD,02 - Unsecured,3322,180.24,335,42.34,79.03,62.02,1.82,1.56,0.55,2.83,0.0,65
Bank_89,708189,2025-02,IntSB,10103030501,01 - Line of Credit,01 - <= Three years old,03 - LATAM,,05 - 120+ DPD,01 - Secured,4501,318.94,401,28.06,116.91,9.29,1.02,0.74,0.25,1.51,0.0,49
Bank_90,379885,2025-02,IntSB,10103030502,01 - Line of Credit,01 - <= Three years old,03 - LATAM,,05 - 120+ DPD,02 - Unsecured,8318,496.74,353,6.12,75.91,26.51,2.93,1.65,0.22,4.36,0.0,12
Bank_91,740150,2025-02,IntSB,10104010101,01 - Line of Credit,01 - <= Three years old,04 - APAC,01 - <=620,01 - Current & 1-29 DPD,01 - Secured,9676,343.17,379,39.21,17.19,81.39,3.42,0.67,1.33,2.76,0.58,61
Bank_92,755860,2025-02,IntSB,10104010102,01 - Line of Credit,01 - <= Three years old,04 - APAC,01 - <=620,01 - Current & 1-29 DPD,02 - Unsecured,7012,333.02,102,35.04,145.64,18.21,1.02,0.96,0.59,1.39,-0.0,52
Bank_93,958983,2025-02,IntSB,10104010201,01 - Line of Credit,01 - <= Three years old,04 - APAC,01 - <=620,02 - 30-59 DPD,01 - Secured,2690,281.54,216,19.74,176.37,94.54,3.26,1.16,0.97,3.45,0.0,12
Bank_94,419679,2025-02,IntSB,10104010202,01 - Line of Credit,01 - <= Three years old,04 - APAC,01 - <=620,02 - 30-59 DPD,02 - Unsecured,5213,462.13,267,34.32,179.74,81.07,4.83,1.03,0.23,5.63,0.0,22
Bank_95,537535,2025-02,IntSB,10104010301,01 - Line of Credit,01 - <= Three years old,04 - APAC,01 - <=620,03 - 60-89 DPD,01 - Secured,9882,334.96,165,17.28,91.14,98.68,3.77,1.58,1.07,4.28,0.0,53
Bank_96,880220,2025-02,IntSB,10104010302,01 - Line of Credit,01 - <= Three years old,04 - APAC,01 - <=620,03 - 60-89 DPD,02 - Unsecured,3365,178.66,304,33.79,106.49,93.5,4.71,0.5,0.99,4.22,0.0,39
Bank_97,430707,2025-02,IntSB,10104010401,01 - Line of Credit,01 - <= Three years old,04 - APAC,01 - <=620,04 - 90-119 DPD,01 - Secured,5535,81.17,475,14.39,84.76,77.05,0.75,1.14,1.13,0.76,0.0,58
Bank_98,316865,2025-02,IntSB,10104010402,01 - Line of Credit,01 - <= Three years old,04 - APAC,01 - <=620,04 - 90-119 DPD,02 - Unsecured,4372,429.61,370,5.39,181.33,94.56,0.76,1.77,0.67,1.86,-0.46,17
Bank_99,975330,2025-02,IntSB,10104010501,01 - Line of Credit,01 - <= Three years old,04 - APAC,01 - <=620,05 - 120+ DPD,01 - Secured,8200,233.33,480,41.35,75.8,33.35,4.72,1.94,0.87,5.79,0.0,27
Bank_100,818352,2025-02,IntSB,10104010502,01 - Line of Credit,01 - <= Three years old,04 - APAC,01 - <=620,05 - 120+ DPD,02 - Unsecured,3957,352.5,472,40.02,56.63,45.73,3.08,0.18,1.29,1.97,-0.0,17
Bank_101,585358,2025-02,IntSB,10104020101,01 - Line of Credit,01 - <= Three years old,04 - APAC,02 - >620,01 - Current & 1-29 DPD,01 - Secured,8636,389.03,129,9.1,79.09,11.31,4.93,1.48,1.06,5.35,0.0,35
Bank_102,944817,2025-02,IntSB,10104020102,01 - Line of Credit,01 - <= Three years old,04 - APAC,02 - >620,01 - Current & 1-29 DPD,02 - Unsecured,9090,486.22,209,43.71,173.81,51.12,2.24,0.43,0.58,2.09,-0.0,18
Bank_103,718470,2025-02,IntSB,10104020201,01 - Line of Credit,01 - <= Three years old,04 - APAC,02 - >620,02 - 30-59 DPD,01 - Secured,5710,368.66,158,26.36,24.64,88.26,4.19,1.87,1.16,4.9,0.0,57
Bank_104,423286,2025-02,IntSB,10104020202,01 - Line of Credit,01 - <= Three years old,04 - APAC,02 - >620,02 - 30-59 DPD,02 - Unsecured,9593,418.89,267,28.32,131.73,67.31,4.69,1.21,0.33,5.57,0.0,14
Bank_105,168575,2025-02,IntSB,10104020301,01 - Line of Credit,01 - <= Three years old,04 - APAC,02 - >620,03 - 60-89 DPD,01 - Secured,7329,498.86,497,31.47,129.39,74.3,2.37,0.7,1.01,2.06,0.5,32
Bank_106,913405,2025-02,IntSB,10104020302,01 - Line of Credit,01 - <= Three years old,04 - APAC,02 - >620,03 - 60-89 DPD,02 - Unsecured,1346,452.28,432,27.79,127.99,94.37,3.09,1.31,1.42,2.98,-0.0,32
Bank_107,298550,2025-02,IntSB,10104020401,01 - Line of Credit,01 - <= Three years old,04 - APAC,02 - >620,04 - 90-119 DPD,01 - Secured,9773,190.82,72,46.66,31.33,19.68,4.97,0.88,0.2,5.65,0.0,20
Bank_108,474943,2025-02,IntSB,10104020402,01 - Line of Credit,01 - <= Three years old,04 - APAC,02 - >620,04 - 90-119 DPD,02 - Unsecured,6254,254.82,81,49.14,47.81,78.01,1.82,0.49,0.35,1.96,0.0,63
Bank_109,241301,2025-02,IntSB,10104020501,01 - Line of Credit,01 - <= Three years old,04 - APAC,02 - >620,05 - 120+ DPD,01 - Secured,6076,273.36,355,6.15,26.97,65.75,2.96,0.74,1.32,2.38,0.0,33
Bank_110,613636,2025-02,IntSB,10104020502,01 - Line of Credit,01 - <= Three years old,04 - APAC,02 - >620,05 - 120+ DPD,02 - Unsecured,5394,409.74,210,17.78,196.23,45.15,1.51,1.25,0.35,2.41,0.0,36
Bank_111,699560,2025-02,IntSB,10104030101,01 - Line of Credit,01 - <= Three years old,04 - APAC,,01 - Current & 1-29 DPD,01 - Secured,4675,160.45,287,27.3,62.1,37.95,0.95,0.22,0.68,0.49,0.0,71
Bank_112,993673,2025-02,IntSB,10104030102,01 - Line of Credit,01 - <= Three years old,04 - APAC,,01 - Current & 1-29 DPD,02 - Unsecured,1238,76.53,186,11.21,22.31,70.1,2.45,0.9,1.16,2.19,0.82,32
Bank_113,232339,2025-02,IntSB,10104030201,01 - Line of Credit,01 - <= Three years old,04 - APAC,,02 - 30-59 DPD,01 - Secured,8765,279.1,433,5.75,161.91,72.81,0.99,1.58,0.21,2.36,-0.0,17
