BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,SEGMENT_ID,Product Type,Age,Credit Score,Delinquency Status,Education Level,# Accounts,$ Outstandings,# Accounts in Repayment,$ Outstandings in Repayment,# New Disbursements,$ New Disbursements,$ Unpaid Principal Balance with Co-Signer,$ Unpaid Principal Balance in Grace,$ Unpaid Principal Balance in Deferment,$ Unpaid Principal Balance in Forbearance,$ Gross Contractual Charge-offs,$ Bankruptcy Charge-offs,$ Recoveries,$ Net Charge-offs,Adjustment Factor,WAL,Security,# New Accounts,$ New Accounts,$ Commitments,$ Modifications,Geography,LTV Ratio,$ New Commitments,Original LTV,# New accounts,$ New accounts,$ Gross contractual charge-offs,$ Bankruptcy charge-offs,$ Net charge-offs,$ Adjustment factor,$ Foreclosure,$ New foreclosure,$ Other Real Estate Owned (OREO),$ New OREO,Weighted Average Life of Loans,LTV,Delinquency,$ Commitment,$ Commitment Increases,$ Commitment Decreases,$ Adjustment Factor,$ New Foreclosure,$ Commitment (HELOC only),$ New commitments (HELOC only),$ Commitment increases (HELOC only),$ Commitment decreases (HELOC only),Adjustment factor to reconcile $ gross contractual charge-offs to $ net charge-offs,$ Receivables,$ Unpaid principal balance,$ New commitments,# Accounts charged-off,Adjustment factor,$ O/S for 30+ DPD in last 24 months,# Accounts 30+ DPD in last 24 months
Bank_11,453499,2025-02,Student,101010303,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,03 - 60-89 DPD,"03 - Other (e.g. community college, trade school, etc.)",1125.0,407.85,223.0,83.53,157.0,104.06,164.46,83.53,40.28,42.25,1.41,0.25,0.31,1.35,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_12,773416,2025-02,Student,101010304,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,03 - 60-89 DPD,04 - Not available,8450.0,169.73,259.0,229.83,746.0,69.7,81.55,99.54,20.84,14.44,3.71,1.71,1.41,4.01,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_13,408893,2025-02,Student,101010401,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,04 - 90-119 DPD,01 - Undergraduate - 4 year,9685.0,426.19,275.0,171.87,698.0,93.3,161.79,90.34,59.91,35.76,4.18,1.04,1.42,3.8,0.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_14,816017,2025-02,Student,101010402,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,04 - 90-119 DPD,02 - Graduate / Professional,1484.0,219.22,100.0,144.29,367.0,149.19,116.5,48.02,82.88,44.22,3.53,0.27,0.33,3.47,-0.09,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_15,570500,2025-02,Student,101010403,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,04 - 90-119 DPD,"03 - Other (e.g. community college, trade school, etc.)",1155.0,82.39,145.0,244.51,600.0,116.83,60.47,84.15,64.5,27.83,1.9,0.88,0.22,2.56,0.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_16,422286,2025-02,Student,101010404,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,04 - 90-119 DPD,04 - Not available,4138.0,202.71,258.0,187.7,872.0,56.21,77.5,98.85,72.94,82.22,1.22,1.77,0.12,2.87,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_17,883170,2025-02,Student,101010501,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,05 - 120+ DPD,01 - Undergraduate - 4 year,9406.0,88.16,300.0,102.37,500.0,29.23,110.94,40.38,49.59,32.62,4.4,1.15,1.48,4.07,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_18,489479,2025-02,Student,101010502,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,05 - 120+ DPD,02 - Graduate / Professional,1720.0,215.95,397.0,167.54,344.0,35.75,174.07,55.19,90.84,37.69,4.15,0.24,0.73,3.66,-0.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_19,530834,2025-02,Student,101010503,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,05 - 120+ DPD,"03 - Other (e.g. community college, trade school, etc.)",1496.0,140.23,428.0,275.69,366.0,83.94,183.67,82.86,92.73,21.42,1.64,0.43,1.05,1.02,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_20,424202,2025-02,Student,101010504,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - <=660,05 - 120+ DPD,04 - Not available,3544.0,423.85,67.0,231.72,455.0,157.96,137.93,13.62,60.39,69.85,2.54,0.38,0.55,2.37,0.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_21,463897,2025-02,Student,101020101,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,01 - Current & 1-29 DPD,01 - Undergraduate - 4 year,4590.0,361.92,231.0,219.21,61.0,153.49,106.87,55.84,37.07,27.7,2.96,1.81,0.37,4.4,-0.8,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_22,785317,2025-02,Student,101020102,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,01 - Current & 1-29 DPD,02 - Graduate / Professional,8830.0,59.34,382.0,205.53,613.0,192.4,27.04,84.27,59.91,93.49,1.73,1.42,0.77,2.38,0.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_23,154388,2025-02,Student,101020103,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,01 - Current & 1-29 DPD,"03 - Other (e.g. community college, trade school, etc.)",6596.0,99.02,423.0,161.93,682.0,46.47,88.25,16.95,26.16,75.52,0.69,1.24,1.29,0.64,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_24,291077,2025-02,Student,101020104,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,01 - Current & 1-29 DPD,04 - Not available,9110.0,331.71,192.0,245.07,233.0,76.12,155.04,39.8,68.04,58.1,3.96,1.44,1.29,4.11,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_25,412744,2025-02,Student,101020201,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,02 - 30-59 DPD,01 - Undergraduate - 4 year,2216.0,195.56,471.0,261.11,846.0,143.11,100.59,49.74,57.71,42.99,1.44,1.15,1.26,1.33,0.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_26,642412,2025-02,Student,101020202,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,02 - 30-59 DPD,02 - Graduate / Professional,8903.0,157.12,86.0,17.84,412.0,79.38,170.45,88.89,96.15,40.3,3.3,1.8,0.19,4.91,0.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_27,355114,2025-02,Student,101020203,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,02 - 30-59 DPD,"03 - Other (e.g. community college, trade school, etc.)",1806.0,331.96,95.0,141.18,181.0,52.44,56.4,29.52,5.66,63.01,2.61,1.04,0.23,3.42,0.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_28,465285,2025-02,Student,101020204,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,02 - 30-59 DPD,04 - Not available,2320.0,206.76,386.0,227.76,832.0,138.58,94.22,9.9,18.14,63.24,2.37,0.15,1.42,1.1,0.36,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_29,397206,2025-02,Student,101020301,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,03 - 60-89 DPD,01 - Undergraduate - 4 year,5165.0,454.68,180.0,172.34,90.0,76.02,109.69,41.78,10.47,72.91,1.77,0.13,0.96,0.94,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_30,967600,2025-02,Student,101020302,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,03 - 60-89 DPD,02 - Graduate / Professional,7980.0,152.15,222.0,204.18,215.0,87.55,32.45,66.64,37.78,66.16,0.78,0.73,0.94,0.57,-0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_31,438817,2025-02,Student,101020303,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,03 - 60-89 DPD,"03 - Other (e.g. community college, trade school, etc.)",6608.0,471.36,197.0,295.78,646.0,111.1,142.58,61.61,49.6,82.58,1.62,1.39,0.44,2.57,0.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_32,133911,2025-02,Student,101020304,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,03 - 60-89 DPD,04 - Not available,5007.0,77.14,475.0,282.7,874.0,187.55,105.28,68.39,12.76,31.33,3.49,1.15,0.92,3.72,-0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_33,478854,2025-02,Student,101020401,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,04 - 90-119 DPD,01 - Undergraduate - 4 year,3534.0,97.67,357.0,55.61,110.0,7.38,191.59,52.74,31.78,84.19,2.46,1.78,1.1,3.14,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_34,681206,2025-02,Student,101020402,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,04 - 90-119 DPD,02 - Graduate / Professional,7180.0,152.55,96.0,279.21,178.0,113.72,55.81,32.57,90.37,9.11,4.37,0.97,0.7,4.64,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_35,470378,2025-02,Student,101020403,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,04 - 90-119 DPD,"03 - Other (e.g. community college, trade school, etc.)",8861.0,435.44,260.0,49.85,958.0,129.69,180.64,33.44,30.78,37.56,3.51,1.03,0.57,3.97,-0.22,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_36,222706,2025-02,Student,101020404,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,04 - 90-119 DPD,04 - Not available,3310.0,163.37,412.0,98.71,544.0,68.6,111.55,12.68,23.45,43.17,3.07,0.78,0.51,3.34,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_37,187201,2025-02,Student,101020501,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,05 - 120+ DPD,01 - Undergraduate - 4 year,9571.0,473.82,392.0,151.22,928.0,69.23,100.49,25.01,5.67,27.19,0.55,0.9,0.96,0.49,-0.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_38,855773,2025-02,Student,101020502,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,05 - 120+ DPD,02 - Graduate / Professional,4559.0,407.23,61.0,205.33,893.0,111.57,184.26,90.92,17.85,51.7,0.81,0.25,0.25,0.81,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_39,421594,2025-02,Student,101020503,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,05 - 120+ DPD,"03 - Other (e.g. community college, trade school, etc.)",4012.0,330.52,237.0,248.37,12.0,101.95,45.41,62.85,90.95,50.65,2.76,0.25,1.29,1.72,0.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_40,185527,2025-02,Student,101020504,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,XX - >660,05 - 120+ DPD,04 - Not available,9194.0,198.64,182.0,40.43,796.0,162.09,134.46,47.04,93.09,47.57,4.99,0.69,0.4,5.28,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_41,428233,2025-02,Student,101030101,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,01 - Current & 1-29 DPD,01 - Undergraduate - 4 year,7206.0,489.9,480.0,99.83,183.0,63.75,172.71,63.57,45.79,62.49,0.8,1.1,0.67,1.23,0.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_42,100818,2025-02,Student,101030102,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,01 - Current & 1-29 DPD,02 - Graduate / Professional,1115.0,168.46,84.0,184.24,360.0,36.99,112.12,79.34,44.84,9.69,1.34,1.27,0.49,2.12,0.56,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_43,308137,2025-02,Student,101030103,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,01 - Current & 1-29 DPD,"03 - Other (e.g. community college, trade school, etc.)",8788.0,365.32,54.0,69.92,844.0,93.95,41.7,28.79,83.72,56.31,2.4,0.22,0.74,1.88,-0.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_44,983202,2025-02,Student,101030104,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,01 - Current & 1-29 DPD,04 - Not available,8777.0,357.73,73.0,172.61,11.0,174.92,27.0,65.5,57.39,85.38,4.64,0.81,1.42,4.03,0.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_45,444449,2025-02,Student,101030201,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,02 - 30-59 DPD,01 - Undergraduate - 4 year,4866.0,113.39,400.0,198.77,216.0,150.82,35.37,73.79,35.72,90.7,3.68,0.88,1.21,3.35,-0.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_46,480530,2025-02,Student,101030202,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,02 - 30-59 DPD,02 - Graduate / Professional,2164.0,142.15,88.0,62.37,236.0,158.38,186.96,67.36,91.96,88.03,3.55,0.51,1.0,3.06,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_47,329623,2025-02,Student,101030203,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,02 - 30-59 DPD,"03 - Other (e.g. community college, trade school, etc.)",7356.0,461.07,379.0,52.57,510.0,153.25,76.71,76.31,8.63,26.68,2.42,1.1,1.27,2.25,0.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_48,995456,2025-02,Student,101030204,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,02 - 30-59 DPD,04 - Not available,6567.0,209.61,332.0,25.94,693.0,107.11,51.39,66.12,34.85,91.37,2.85,1.75,1.1,3.5,0.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_49,255327,2025-02,Student,101030301,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,03 - 60-89 DPD,01 - Undergraduate - 4 year,7565.0,334.83,384.0,48.14,76.0,165.34,124.27,22.8,21.44,6.3,1.25,1.72,0.97,2.0,-0.9,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_50,153421,2025-02,Student,101030302,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,03 - 60-89 DPD,02 - Graduate / Professional,3840.0,446.46,82.0,251.28,635.0,151.98,198.43,60.64,23.11,88.96,4.53,1.12,0.68,4.97,-0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_51,501052,2025-02,Student,101030303,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,03 - 60-89 DPD,"03 - Other (e.g. community college, trade school, etc.)",7090.0,96.83,258.0,62.74,144.0,131.68,44.62,64.35,57.08,51.16,1.29,1.55,0.41,2.43,0.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_52,910115,2025-02,Student,101030304,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,03 - 60-89 DPD,04 - Not available,6600.0,234.73,60.0,280.69,876.0,165.58,77.0,6.11,54.6,70.28,2.91,1.51,0.15,4.27,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_53,398527,2025-02,Student,101030401,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,04 - 90-119 DPD,01 - Undergraduate - 4 year,2810.0,295.87,114.0,12.86,354.0,11.73,136.58,74.63,6.13,42.24,0.74,0.84,0.13,1.45,-0.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_54,893437,2025-02,Student,101030402,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,04 - 90-119 DPD,02 - Graduate / Professional,2975.0,411.33,307.0,50.14,388.0,93.87,18.63,99.01,64.39,99.92,1.5,1.51,0.45,2.56,0.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_55,686118,2025-02,Student,101030403,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,04 - 90-119 DPD,"03 - Other (e.g. community college, trade school, etc.)",9651.0,188.12,272.0,221.13,134.0,58.79,172.19,41.58,20.87,59.19,1.31,1.56,1.49,1.38,-0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_56,471260,2025-02,Student,101030404,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,04 - 90-119 DPD,04 - Not available,9743.0,473.86,202.0,200.07,63.0,53.76,109.76,63.96,29.98,90.76,3.52,0.37,1.32,2.57,-0.72,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_57,641254,2025-02,Student,101030501,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,05 - 120+ DPD,01 - Undergraduate - 4 year,4689.0,396.67,383.0,42.6,377.0,58.51,29.23,8.72,81.69,21.92,3.57,1.0,0.71,3.86,-0.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_58,705645,2025-02,Student,101030502,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,05 - 120+ DPD,02 - Graduate / Professional,7156.0,468.79,400.0,86.26,61.0,125.96,40.44,41.06,95.96,50.88,2.74,1.26,0.48,3.52,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_59,721987,2025-02,Student,101030503,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,05 - 120+ DPD,"03 - Other (e.g. community college, trade school, etc.)",3675.0,486.4,362.0,228.17,291.0,189.24,104.16,91.29,7.01,97.14,1.64,0.68,1.35,0.97,0.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_60,961681,2025-02,Student,101030504,01 - Managed - Gov Guaranteed,01 - 6 years <= Age,,05 - 120+ DPD,04 - Not available,2294.0,374.11,159.0,208.41,484.0,41.42,113.25,15.53,41.53,63.51,4.87,0.21,1.36,3.72,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_61,236529,2025-02,Student,102010101,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,01 - Current & 1-29 DPD,01 - Undergraduate - 4 year,7164.0,50.91,421.0,63.22,757.0,104.02,10.08,37.76,80.91,28.09,4.27,0.59,1.31,3.55,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_62,973557,2025-02,Student,102010102,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,01 - Current & 1-29 DPD,02 - Graduate / Professional,9309.0,465.0,436.0,296.54,189.0,107.58,111.27,48.02,6.61,15.82,4.33,0.44,1.19,3.58,-0.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_63,566018,2025-02,Student,102010103,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,01 - Current & 1-29 DPD,"03 - Other (e.g. community college, trade school, etc.)",8222.0,151.09,86.0,132.39,992.0,156.37,25.74,47.21,85.33,45.25,1.87,1.11,0.71,2.27,0.4,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_64,691775,2025-02,Student,102010104,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,01 - Current & 1-29 DPD,04 - Not available,9587.0,462.92,73.0,293.82,713.0,90.36,26.5,76.71,87.0,81.4,4.22,0.73,0.92,4.03,0.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_65,949546,2025-02,Student,102010201,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,02 - 30-59 DPD,01 - Undergraduate - 4 year,6055.0,369.07,112.0,67.83,287.0,164.19,175.74,34.24,76.27,60.18,3.98,1.84,0.75,5.07,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_66,133499,2025-02,Student,102010202,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,02 - 30-59 DPD,02 - Graduate / Professional,3477.0,396.39,146.0,238.8,399.0,143.74,116.12,33.75,6.97,14.19,4.4,0.55,1.0,3.95,0.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank_67,795339,2025-02,Student,102010203,01 - Managed - Gov Guaranteed,02 - 5 years <= Age < 6 years,XX - <=660,02 - 30-59 DPD,"03 - Other (e.g. community college, trade school, etc.)",3457.0,267.75,129.0,66.7,203.0,43.75,139.39,67.74,95.46,62.18,1.46,1.81,0.95,2.32,-0.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
