BHC_NAME,RSSD_ID,REPORTING_MONTH,PORTFOLIO_ID,SEGMENT_ID,Product Type,Credit Score,Geography,Age,LTV,Delinquency,# Accounts,$ Outstandings,$ Commitment,# New Accounts,$ New Accounts,$ New Commitments,$ Commitment Increases,$ Commitment Decreases,$ Gross Contractual Charge-offs,$ Bankruptcy Charge-offs,$ Recoveries,$ Net Charge-offs,$ Adjustment Factor,$ Foreclosure,$ New Foreclosure,$ Other Real Estate Owned (OREO),$ New OREO,Weighted Average Life of Loans
Sample Bank,123456,2025-02,IntHE,010101020101,01:HELOAN,01:<= 660,01:Canada,02:> Three years old,01:< 80,01:Current & 1-29 DPD,607,47.54,,34,1.64,,,,0.7,1.19,0.4,0.31,0.64,3.43,0.13,1.76,0.26,2.16
Sample Bank,123456,2025-02,IntHE,010101020102,01:HELOAN,01:<= 660,01:Canada,02:> Three years old,01:< 80,02:30-89 DPD,89,43.36,,25,4.09,,,,1.58,1.76,0.23,1.42,0.3,0.08,0.55,0.93,1.72,11.64
Sample Bank,123456,2025-02,IntHE,010101020103,01:HELOAN,01:<= 660,01:Canada,02:> Three years old,01:< 80,03:90-119 DPD,821,72.41,,33,8.2,,,,0.88,0.18,0.34,1.92,-0.63,1.46,1.01,3.4,0.33,25.07
Sample Bank,123456,2025-02,IntHE,010101020104,01:HELOAN,01:<= 660,01:Canada,02:> Three years old,01:< 80,04:120-179 DPD,309,2.6,,30,0.2,,,,1.42,1.25,0.84,1.78,-0.42,4.26,0.32,3.38,0.38,10.74
Sample Bank,123456,2025-02,IntHE,010101020105,01:HELOAN,01:<= 660,01:Canada,02:> Three years old,01:< 80,05:180+ DPD,10,29.79,,10,2.49,,,,0.85,1.3,0.94,0.76,-0.72,2.05,0.9,4.26,0.7,26.77
Sample Bank,123456,2025-02,IntHE,010101020201,01:HELOAN,01:<= 660,01:Canada,02:> Three years old,02:>= 80,01:Current & 1-29 DPD,967,92.74,,29,0.61,,,,1.55,1.2,0.34,0.51,-0.36,1.95,1.27,4.07,1.91,17.73
Sample Bank,123456,2025-02,IntHE,010101020202,01:HELOAN,01:<= 660,01:Canada,02:> Three years old,02:>= 80,02:30-89 DPD,694,82.69,,36,9.2,,,,0.77,0.43,0.68,1.39,-0.18,0.79,0.27,1.81,1.31,6.08
Sample Bank,123456,2025-02,IntHE,010101020203,01:HELOAN,01:<= 660,01:Canada,02:> Three years old,02:>= 80,03:90-119 DPD,739,95.37,,43,4.9,,,,1.22,1.4,0.31,1.75,0.97,3.46,0.98,4.5,1.79,24.65
Sample Bank,123456,2025-02,IntHE,010101020204,01:HELOAN,01:<= 660,01:Canada,02:> Three years old,02:>= 80,04:120-179 DPD,377,64.3,,10,6.95,,,,1.6,1.72,0.93,2.18,-0.21,0.54,1.79,3.63,1.95,24.23
Sample Bank,123456,2025-02,IntHE,010101020205,01:HELOAN,01:<= 660,01:Canada,02:> Three years old,02:>= 80,05:180+ DPD,17,54.6,,16,9.03,,,,0.89,1.85,0.25,1.69,0.73,2.37,1.89,0.99,0.48,24.78
Sample Bank,123456,2025-02,IntHE,010102010101,01:HELOAN,01:<= 660,02:EMEA,01:<= Three years old,01:< 80,01:Current & 1-29 DPD,109,6.0,,8,9.61,,,,1.44,0.1,0.15,0.97,0.86,3.4,1.1,2.33,1.78,14.94
Sample Bank,123456,2025-02,IntHE,010102010102,01:HELOAN,01:<= 660,02:EMEA,01:<= Three years old,01:< 80,02:30-89 DPD,549,93.39,,13,6.85,,,,1.5,1.24,0.86,1.97,-0.18,0.85,0.84,1.39,1.6,20.9
Sample Bank,123456,2025-02,IntHE,010102010103,01:HELOAN,01:<= 660,02:EMEA,01:<= Three years old,01:< 80,03:90-119 DPD,401,1.23,,49,3.49,,,,0.21,0.85,0.95,1.21,-0.29,0.97,1.09,1.05,0.91,16.46
Sample Bank,123456,2025-02,IntHE,010102010104,01:HELOAN,01:<= 660,02:EMEA,01:<= Three years old,01:< 80,04:120-179 DPD,378,3.04,,14,1.95,,,,1.26,1.63,0.79,1.96,0.43,0.48,1.29,0.72,0.45,18.87
Sample Bank,123456,2025-02,IntHE,010102010105,01:HELOAN,01:<= 660,02:EMEA,01:<= Three years old,01:< 80,05:180+ DPD,137,39.03,,8,4.42,,,,1.41,1.41,0.84,1.37,0.94,3.12,0.4,4.19,0.29,15.47
Sample Bank,123456,2025-02,IntHE,010102010201,01:HELOAN,01:<= 660,02:EMEA,01:<= Three years old,02:>= 80,01:Current & 1-29 DPD,124,22.35,,44,2.08,,,,1.08,1.48,0.12,0.71,0.74,3.39,1.0,1.31,1.29,19.05
Sample Bank,123456,2025-02,IntHE,010102010202,01:HELOAN,01:<= 660,02:EMEA,01:<= Three years old,02:>= 80,02:30-89 DPD,408,45.44,,0,4.2,,,,0.02,1.74,0.94,2.18,0.22,1.04,0.54,0.63,1.39,1.93
Sample Bank,123456,2025-02,IntHE,010102010203,01:HELOAN,01:<= 660,02:EMEA,01:<= Three years old,02:>= 80,03:90-119 DPD,135,61.71,,10,9.15,,,,0.08,1.31,0.76,1.23,0.28,3.89,1.12,0.89,1.85,5.76
Sample Bank,123456,2025-02,IntHE,010102010204,01:HELOAN,01:<= 660,02:EMEA,01:<= Three years old,02:>= 80,04:120-179 DPD,529,89.92,,6,3.82,,,,0.63,0.19,0.22,0.43,-0.77,3.6,1.17,4.86,1.6,16.68
Sample Bank,123456,2025-02,IntHE,010102010205,01:HELOAN,01:<= 660,02:EMEA,01:<= Three years old,02:>= 80,05:180+ DPD,682,39.87,,0,8.23,,,,0.36,1.24,0.88,0.83,-0.29,3.67,0.77,0.48,0.14,26.92
Sample Bank,123456,2025-02,IntHE,010102020101,01:HELOAN,01:<= 660,02:EMEA,02:> Three years old,01:< 80,01:Current & 1-29 DPD,355,78.19,,41,4.95,,,,1.62,0.48,0.53,2.96,0.68,3.89,0.61,1.22,0.97,5.7
Sample Bank,123456,2025-02,IntHE,010102020102,01:HELOAN,01:<= 660,02:EMEA,02:> Three years old,01:< 80,02:30-89 DPD,543,17.23,,30,9.85,,,,0.91,1.31,0.59,1.24,-0.39,1.62,1.92,0.39,0.76,9.03
Sample Bank,123456,2025-02,IntHE,010102020103,01:HELOAN,01:<= 660,02:EMEA,02:> Three years old,01:< 80,03:90-119 DPD,117,23.88,,19,9.97,,,,0.81,0.32,0.11,2.68,0.14,1.17,0.55,3.97,1.8,22.67
Sample Bank,123456,2025-02,IntHE,010102020104,01:HELOAN,01:<= 660,02:EMEA,02:> Three years old,01:< 80,04:120-179 DPD,559,95.22,,2,5.36,,,,1.12,0.01,0.18,1.85,-0.41,1.59,0.47,3.26,1.81,23.05
Sample Bank,123456,2025-02,IntHE,010102020105,01:HELOAN,01:<= 660,02:EMEA,02:> Three years old,01:< 80,05:180+ DPD,538,27.76,,6,9.48,,,,1.79,0.81,0.1,2.59,-0.59,2.86,1.64,1.94,1.87,1.73
Sample Bank,123456,2025-02,IntHE,010102020201,01:HELOAN,01:<= 660,02:EMEA,02:> Three years old,02:>= 80,01:Current & 1-29 DPD,22,38.6,,42,6.25,,,,1.09,1.55,0.15,0.54,0.19,0.63,1.08,1.12,1.28,9.64
Sample Bank,123456,2025-02,IntHE,010102020202,01:HELOAN,01:<= 660,02:EMEA,02:> Three years old,02:>= 80,02:30-89 DPD,397,16.2,,22,9.34,,,,1.49,0.88,0.22,0.98,-0.18,0.11,0.43,0.09,0.37,29.51
Sample Bank,123456,2025-02,IntHE,010102020203,01:HELOAN,01:<= 660,02:EMEA,02:> Three years old,02:>= 80,03:90-119 DPD,574,93.35,,39,9.75,,,,1.94,1.37,0.77,0.98,0.41,2.47,0.51,2.95,1.28,9.03
Sample Bank,123456,2025-02,IntHE,010102020204,01:HELOAN,01:<= 660,02:EMEA,02:> Three years old,02:>= 80,04:120-179 DPD,198,58.2,,25,3.06,,,,0.26,1.36,0.31,1.51,-0.17,1.74,0.71,2.1,1.39,25.17
Sample Bank,123456,2025-02,IntHE,010102020205,01:HELOAN,01:<= 660,02:EMEA,02:> Three years old,02:>= 80,05:180+ DPD,939,14.51,,9,4.78,,,,1.52,1.98,0.66,0.69,-0.84,4.44,1.56,2.44,0.55,22.75
Sample Bank,123456,2025-02,IntHE,010103010101,01:HELOAN,01:<= 660,03:LATAM,01:<= Three years old,01:< 80,01:Current & 1-29 DPD,808,11.9,,32,6.91,,,,0.39,1.28,0.94,2.91,0.48,3.28,1.96,2.8,1.12,28.16
Sample Bank,123456,2025-02,IntHE,010103010102,01:HELOAN,01:<= 660,03:LATAM,01:<= Three years old,01:< 80,02:30-89 DPD,113,50.46,,13,3.12,,,,1.67,0.11,0.57,0.85,0.38,2.52,0.32,1.38,1.78,22.36
Sample Bank,123456,2025-02,IntHE,010103010103,01:HELOAN,01:<= 660,03:LATAM,01:<= Three years old,01:< 80,03:90-119 DPD,567,36.8,,33,6.02,,,,0.54,1.48,0.66,0.74,0.41,1.74,1.12,0.72,1.85,22.43
Sample Bank,123456,2025-02,IntHE,010103010104,01:HELOAN,01:<= 660,03:LATAM,01:<= Three years old,01:< 80,04:120-179 DPD,451,94.16,,39,2.49,,,,1.58,1.74,0.17,2.38,-0.1,1.86,0.99,3.35,0.41,26.09
Sample Bank,123456,2025-02,IntHE,010103010105,01:HELOAN,01:<= 660,03:LATAM,01:<= Three years old,01:< 80,05:180+ DPD,299,16.76,,11,9.01,,,,1.22,1.07,0.45,0.36,0.99,2.75,1.76,1.61,0.91,29.45
Sample Bank,123456,2025-02,IntHE,010103010201,01:HELOAN,01:<= 660,03:LATAM,01:<= Three years old,02:>= 80,01:Current & 1-29 DPD,287,63.46,,12,8.04,,,,1.61,1.78,0.83,2.7,0.18,0.86,0.97,2.17,0.13,24.18
Sample Bank,123456,2025-02,IntHE,010103010202,01:HELOAN,01:<= 660,03:LATAM,01:<= Three years old,02:>= 80,02:30-89 DPD,608,30.32,,5,3.07,,,,1.94,1.33,0.61,0.06,-0.95,4.59,0.49,3.3,0.56,9.79
Sample Bank,123456,2025-02,IntHE,010103010203,01:HELOAN,01:<= 660,03:LATAM,01:<= Three years old,02:>= 80,03:90-119 DPD,508,6.08,,33,4.66,,,,0.54,0.52,0.09,0.92,-0.63,4.93,1.51,0.89,0.81,29.28
Sample Bank,123456,2025-02,IntHE,010103010204,01:HELOAN,01:<= 660,03:LATAM,01:<= Three years old,02:>= 80,04:120-179 DPD,284,63.13,,34,4.82,,,,0.72,1.33,0.91,2.21,0.98,4.28,1.0,2.69,0.78,19.36
Sample Bank,123456,2025-02,IntHE,010103010205,01:HELOAN,01:<= 660,03:LATAM,01:<= Three years old,02:>= 80,05:180+ DPD,42,16.67,,39,4.64,,,,0.38,1.33,0.05,1.19,-0.03,1.79,1.72,2.01,1.29,26.07
Sample Bank,123456,2025-02,IntHE,010103020101,01:HELOAN,01:<= 660,03:LATAM,02:> Three years old,01:< 80,01:Current & 1-29 DPD,539,24.25,,44,3.26,,,,1.97,1.33,0.26,1.58,-0.06,2.18,0.86,2.19,1.96,20.61
Sample Bank,123456,2025-02,IntHE,010103020102,01:HELOAN,01:<= 660,03:LATAM,02:> Three years old,01:< 80,02:30-89 DPD,680,95.66,,9,1.04,,,,0.04,1.42,0.52,2.56,0.33,3.67,0.68,2.98,1.04,29.33
Sample Bank,123456,2025-02,IntHE,010103020103,01:HELOAN,01:<= 660,03:LATAM,02:> Three years old,01:< 80,03:90-119 DPD,134,66.59,,12,5.06,,,,0.76,0.27,0.13,1.49,0.93,0.55,1.45,4.18,1.68,29.2
Sample Bank,123456,2025-02,IntHE,010103020104,01:HELOAN,01:<= 660,03:LATAM,02:> Three years old,01:< 80,04:120-179 DPD,375,32.65,,47,7.92,,,,1.33,0.55,0.38,0.81,0.23,3.76,1.78,4.62,1.53,10.08
Sample Bank,123456,2025-02,IntHE,010103020105,01:HELOAN,01:<= 660,03:LATAM,02:> Three years old,01:< 80,05:180+ DPD,982,38.6,,19,2.72,,,,0.0,1.81,0.33,2.84,0.08,2.7,1.32,0.57,1.12,12.74
Sample Bank,123456,2025-02,IntHE,010103020201,01:HELOAN,01:<= 660,03:LATAM,02:> Three years old,02:>= 80,01:Current & 1-29 DPD,274,39.51,,8,6.49,,,,1.35,1.48,0.46,0.67,-0.39,4.58,1.86,2.55,1.75,6.53
Sample Bank,123456,2025-02,IntHE,010103020202,01:HELOAN,01:<= 660,03:LATAM,02:> Three years old,02:>= 80,02:30-89 DPD,625,33.98,,5,2.78,,,,0.87,0.74,0.64,0.9,0.45,1.63,0.99,2.26,1.27,10.85
Sample Bank,123456,2025-02,IntHE,010103020203,01:HELOAN,01:<= 660,03:LATAM,02:> Three years old,02:>= 80,03:90-119 DPD,739,83.69,,12,3.36,,,,0.2,0.58,0.29,1.21,0.14,3.61,1.28,3.25,1.7,18.0
Sample Bank,123456,2025-02,IntHE,010103020204,01:HELOAN,01:<= 660,03:LATAM,02:> Three years old,02:>= 80,04:120-179 DPD,422,95.55,,27,8.56,,,,0.63,0.24,0.65,1.2,0.68,3.84,1.17,0.08,0.93,7.41
Sample Bank,123456,2025-02,IntHE,010103020205,01:HELOAN,01:<= 660,03:LATAM,02:> Three years old,02:>= 80,05:180+ DPD,975,21.97,,23,9.53,,,,0.59,0.69,0.53,0.95,0.68,4.35,0.41,1.96,0.48,7.57
Sample Bank,123456,2025-02,IntHE,010104010101,01:HELOAN,01:<= 660,04:APAC,01:<= Three years old,01:< 80,01:Current & 1-29 DPD,297,2.34,,44,9.73,,,,0.16,1.24,0.95,1.9,-0.56,1.83,0.21,0.92,1.25,26.2
Sample Bank,123456,2025-02,IntHE,010104010102,01:HELOAN,01:<= 660,04:APAC,01:<= Three years old,01:< 80,02:30-89 DPD,70,41.05,,36,5.68,,,,1.49,1.55,0.55,0.49,0.98,3.62,1.69,1.03,1.47,12.9
Sample Bank,123456,2025-02,IntHE,010104010103,01:HELOAN,01:<= 660,04:APAC,01:<= Three years old,01:< 80,03:90-119 DPD,211,53.11,,4,3.51,,,,0.71,1.36,0.44,1.49,0.21,3.66,0.59,1.39,1.49,25.81
Sample Bank,123456,2025-02,IntHE,010104010104,01:HELOAN,01:<= 660,04:APAC,01:<= Three years old,01:< 80,04:120-179 DPD,135,58.87,,2,7.23,,,,0.55,0.71,0.29,2.11,0.47,4.07,1.2,2.72,1.27,20.26
Sample Bank,123456,2025-02,IntHE,010104010105,01:HELOAN,01:<= 660,04:APAC,01:<= Three years old,01:< 80,05:180+ DPD,975,34.07,,17,0.23,,,,0.68,0.17,0.86,1.45,-0.78,1.52,0.24,1.94,0.14,5.44
Sample Bank,123456,2025-02,IntHE,010104010201,01:HELOAN,01:<= 660,04:APAC,01:<= Three years old,02:>= 80,01:Current & 1-29 DPD,128,58.36,,41,7.97,,,,0.85,1.17,0.87,0.82,-0.51,1.74,1.06,2.44,0.49,26.57
Sample Bank,123456,2025-02,IntHE,010104010202,01:HELOAN,01:<= 660,04:APAC,01:<= Three years old,02:>= 80,02:30-89 DPD,577,83.88,,4,1.81,,,,1.28,0.67,0.1,2.06,-0.87,0.2,0.69,0.03,0.89,20.18
Sample Bank,123456,2025-02,IntHE,010104010203,01:HELOAN,01:<= 660,04:APAC,01:<= Three years old,02:>= 80,03:90-119 DPD,806,87.9,,45,8.35,,,,0.89,1.97,0.09,2.42,-0.8,0.8,1.08,2.66,1.87,26.05
Sample Bank,123456,2025-02,IntHE,010104010204,01:HELOAN,01:<= 660,04:APAC,01:<= Three years old,02:>= 80,04:120-179 DPD,361,82.42,,23,4.68,,,,0.38,0.55,0.63,2.15,-0.65,3.17,1.26,3.57,0.57,14.32
Sample Bank,123456,2025-02,IntHE,010104010205,01:HELOAN,01:<= 660,04:APAC,01:<= Three years old,02:>= 80,05:180+ DPD,413,11.32,,23,4.65,,,,1.74,0.07,0.61,0.49,0.34,4.92,1.84,2.8,0.71,22.73
Sample Bank,123456,2025-02,IntHE,010104020101,01:HELOAN,01:<= 660,04:APAC,02:> Three years old,01:< 80,01:Current & 1-29 DPD,348,34.4,,43,5.88,,,,1.25,1.14,0.14,2.18,0.81,3.65,1.9,4.98,1.38,8.82
Sample Bank,123456,2025-02,IntHE,010104020102,01:HELOAN,01:<= 660,04:APAC,02:> Three years old,01:< 80,02:30-89 DPD,175,59.97,,34,6.55,,,,0.66,1.33,0.41,2.93,0.61,1.5,0.68,0.06,0.75,21.32
Sample Bank,123456,2025-02,IntHE,010104020103,01:HELOAN,01:<= 660,04:APAC,02:> Three years old,01:< 80,03:90-119 DPD,179,91.49,,15,1.64,,,,0.05,1.2,0.07,1.99,-0.44,1.01,0.97,1.79,1.12,19.46
Sample Bank,123456,2025-02,IntHE,010104020104,01:HELOAN,01:<= 660,04:APAC,02:> Three years old,01:< 80,04:120-179 DPD,315,84.03,,6,9.86,,,,1.47,0.77,0.76,0.27,0.41,2.55,1.75,1.97,1.23,2.84
Sample Bank,123456,2025-02,IntHE,010104020105,01:HELOAN,01:<= 660,04:APAC,02:> Three years old,01:< 80,05:180+ DPD,903,69.85,,31,4.22,,,,0.83,1.03,0.01,0.99,0.39,0.69,0.83,4.06,1.86,19.29
Sample Bank,123456,2025-02,IntHE,010104020201,01:HELOAN,01:<= 660,04:APAC,02:> Three years old,02:>= 80,01:Current & 1-29 DPD,515,20.16,,48,6.52,,,,1.28,1.11,0.91,2.13,0.48,3.42,1.96,0.23,0.26,16.15
Sample Bank,123456,2025-02,IntHE,010104020202,01:HELOAN,01:<= 660,04:APAC,02:> Three years old,02:>= 80,02:30-89 DPD,270,64.65,,33,4.72,,,,1.24,0.56,0.15,1.06,-0.47,2.18,1.88,4.01,1.4,28.89
Sample Bank,123456,2025-02,IntHE,010104020203,01:HELOAN,01:<= 660,04:APAC,02:> Three years old,02:>= 80,03:90-119 DPD,73,85.8,,29,3.95,,,,0.47,0.45,0.67,1.72,-0.59,0.17,1.5,2.45,0.7,1.44
Sample Bank,123456,2025-02,IntHE,010104020204,01:HELOAN,01:<= 660,04:APAC,02:> Three years old,02:>= 80,04:120-179 DPD,854,8.1,,37,0.61,,,,0.4,1.85,0.6,1.95,0.33,1.49,0.47,2.07,0.03,12.52
Sample Bank,123456,2025-02,IntHE,010104020205,01:HELOAN,01:<= 660,04:APAC,02:> Three years old,02:>= 80,05:180+ DPD,751,78.6,,43,8.6,,,,1.48,0.91,0.77,2.36,0.87,2.39,0.37,3.25,1.97,27.28
Sample Bank,123456,2025-02,IntHE,010201010101,01:HELOAN,02:> 660,01:Canada,01:<= Three years old,01:< 80,01:Current & 1-29 DPD,277,49.28,,3,3.08,,,,0.75,1.68,0.44,0.74,0.46,0.11,1.01,0.15,0.5,16.69
Sample Bank,123456,2025-02,IntHE,010201010102,01:HELOAN,02:> 660,01:Canada,01:<= Three years old,01:< 80,02:30-89 DPD,978,30.84,,21,6.88,,,,1.73,0.21,0.79,1.0,-0.87,0.29,0.9,0.29,1.2,19.32
Sample Bank,123456,2025-02,IntHE,010201010103,01:HELOAN,02:> 660,01:Canada,01:<= Three years old,01:< 80,03:90-119 DPD,136,17.13,,28,1.9,,,,1.39,0.71,0.47,2.84,-0.03,1.09,1.01,4.15,0.68,13.96
Sample Bank,123456,2025-02,IntHE,010201010104,01:HELOAN,02:> 660,01:Canada,01:<= Three years old,01:< 80,04:120-179 DPD,801,50.49,,17,8.84,,,,1.39,1.72,0.25,2.87,-0.6,2.93,1.94,2.86,0.3,8.3
Sample Bank,123456,2025-02,IntHE,010201010105,01:HELOAN,02:> 660,01:Canada,01:<= Three years old,01:< 80,05:180+ DPD,166,87.01,,6,4.26,,,,1.72,1.59,0.82,1.82,-0.7,4.79,1.83,4.26,1.25,23.92
Sample Bank,123456,2025-02,IntHE,010201010201,01:HELOAN,02:> 660,01:Canada,01:<= Three years old,02:>= 80,01:Current & 1-29 DPD,187,90.33,,15,8.91,,,,0.81,0.93,0.36,0.9,0.3,0.25,1.18,1.64,0.88,29.19
Sample Bank,123456,2025-02,IntHE,010201010202,01:HELOAN,02:> 660,01:Canada,01:<= Three years old,02:>= 80,02:30-89 DPD,56,61.05,,29,5.26,,,,0.48,0.96,0.16,0.82,0.95,4.81,0.25,0.27,1.05,16.51
Sample Bank,123456,2025-02,IntHE,010201010203,01:HELOAN,02:> 660,01:Canada,01:<= Three years old,02:>= 80,03:90-119 DPD,714,53.76,,22,8.91,,,,0.79,1.41,0.55,2.1,0.2,4.49,1.18,1.34,1.68,5.84
Sample Bank,123456,2025-02,IntHE,010201010204,01:HELOAN,02:> 660,01:Canada,01:<= Three years old,02:>= 80,04:120-179 DPD,776,86.63,,24,5.41,,,,1.45,0.25,0.64,1.59,-0.45,0.39,1.5,1.55,0.2,16.37
Sample Bank,123456,2025-02,IntHE,010201010205,01:HELOAN,02:> 660,01:Canada,01:<= Three years old,02:>= 80,05:180+ DPD,929,29.3,,12,8.35,,,,0.84,1.49,0.59,2.33,0.92,3.78,0.12,0.35,1.2,18.83
Sample Bank,123456,2025-02,IntHE,010201020101,01:HELOAN,02:> 660,01:Canada,02:> Three years old,01:< 80,01:Current & 1-29 DPD,408,16.51,,48,9.84,,,,1.66,1.17,0.83,0.1,-0.16,4.91,1.44,2.43,0.01,3.7
Sample Bank,123456,2025-02,IntHE,010201020102,01:HELOAN,02:> 660,01:Canada,02:> Three years old,01:< 80,02:30-89 DPD,607,35.7,,17,9.01,,,,0.71,0.06,0.76,1.78,-0.39,2.76,0.77,3.43,1.06,12.94
Sample Bank,123456,2025-02,IntHE,010201020103,01:HELOAN,02:> 660,01:Canada,02:> Three years old,01:< 80,03:90-119 DPD,807,3.66,,48,4.2,,,,0.86,1.54,0.08,0.5,-0.77,0.23,0.22,2.62,0.55,27.06
Sample Bank,123456,2025-02,IntHE,010201020104,01:HELOAN,02:> 660,01:Canada,02:> Three years old,01:< 80,04:120-179 DPD,898,67.55,,33,0.71,,,,0.83,1.41,0.43,2.29,0.56,1.64,1.13,0.34,1.38,9.55
Sample Bank,123456,2025-02,IntHE,010201020105,01:HELOAN,02:> 660,01:Canada,02:> Three years old,01:< 80,05:180+ DPD,309,41.56,,38,8.25,,,,0.14,1.5,0.28,0.16,-0.66,3.33,0.68,2.11,0.02,26.04
Sample Bank,123456,2025-02,IntHE,010201020201,01:HELOAN,02:> 660,01:Canada,02:> Three years old,02:>= 80,01:Current & 1-29 DPD,666,64.24,,13,3.66,,,,0.22,0.16,0.5,2.77,-0.32,1.08,1.71,1.27,0.92,11.88
Sample Bank,123456,2025-02,IntHE,010201020202,01:HELOAN,02:> 660,01:Canada,02:> Three years old,02:>= 80,02:30-89 DPD,486,98.73,,24,7.47,,,,0.75,1.13,0.65,1.3,-0.65,2.07,0.18,4.0,0.26,23.8
Sample Bank,123456,2025-02,IntHE,010201020203,01:HELOAN,02:> 660,01:Canada,02:> Three years old,02:>= 80,03:90-119 DPD,364,53.92,,25,4.83,,,,1.71,0.72,0.72,0.28,0.94,3.97,0.25,0.89,0.92,25.57
Sample Bank,123456,2025-02,IntHE,010201020204,01:HELOAN,02:> 660,01:Canada,02:> Three years old,02:>= 80,04:120-179 DPD,346,48.45,,3,8.0,,,,1.58,1.71,0.75,0.98,0.18,1.03,0.55,3.21,0.05,17.8
Sample Bank,123456,2025-02,IntHE,010201020205,01:HELOAN,02:> 660,01:Canada,02:> Three years old,02:>= 80,05:180+ DPD,61,6.3,,48,2.12,,,,1.49,1.34,0.1,0.66,0.21,0.85,1.84,0.52,0.21,23.76
Sample Bank,123456,2025-02,IntHE,010202010101,01:HELOAN,02:> 660,02:EMEA,01:<= Three years old,01:< 80,01:Current & 1-29 DPD,143,34.54,,2,8.57,,,,0.82,0.93,0.53,1.64,0.93,0.74,0.65,3.54,1.75,23.04
Sample Bank,123456,2025-02,IntHE,010202010102,01:HELOAN,02:> 660,02:EMEA,01:<= Three years old,01:< 80,02:30-89 DPD,212,54.8,,30,7.41,,,,1.89,1.08,0.51,1.72,-0.77,3.06,1.85,1.65,0.16,20.58
Sample Bank,123456,2025-02,IntHE,010202010103,01:HELOAN,02:> 660,02:EMEA,01:<= Three years old,01:< 80,03:90-119 DPD,952,91.62,,45,1.41,,,,1.24,0.08,0.54,1.55,0.39,1.27,1.91,3.13,0.16,28.0
Sample Bank,123456,2025-02,IntHE,010202010104,01:HELOAN,02:> 660,02:EMEA,01:<= Three years old,01:< 80,04:120-179 DPD,387,99.73,,7,2.97,,,,0.09,0.13,0.11,0.5,-0.89,1.96,1.3,2.26,0.61,24.21
Sample Bank,123456,2025-02,IntHE,010202010105,01:HELOAN,02:> 660,02:EMEA,01:<= Three years old,01:< 80,05:180+ DPD,420,24.2,,41,3.93,,,,0.27,0.24,0.37,1.8,0.26,4.96,0.12,1.34,1.75,5.65
